day,demand_d+1,demand_d+2,demand_d-1,demand_d-2,demand_t+1,demand_t+2,demand_t-1,demand_t-2,demand_td0,hour_of_day
5,35.33,81.94,118.53,134.43,169.44,123.5,50.27,31.88,86.08,20
5,22.43,148.92,160.78,196.3,123.5,90.83,86.08,50.27,169.44,21
5,36.46,147.63,88.7,156.5,90.83,67.48,169.44,86.08,123.5,22
5,106.12,58.55,34.7,98.47,67.48,46.71,123.5,169.44,90.83,23
5,67.32,41.15,29.64,76.29,46.71,40.93,90.83,123.5,67.48,24
6,66.57,41.15,46.58,56.7,40.93,61.48,67.48,90.83,46.71,1
6,24.66,22.28,30.67,46.15,61.48,27.29,46.71,67.48,40.93,2
6,24.69,20.02,23.46,58.86,27.29,22.21,40.93,46.71,61.48,3
6,19.24,24.91,17.27,58.39,22.21,22.05,61.48,40.93,27.29,4
6,19.8,24.45,24.57,55.04,22.05,49.59,27.29,61.48,22.21,5
6,24.49,62.27,25.68,52.32,49.59,166.77,22.21,27.29,22.05,6
6,73.19,71.3,44.48,63.12,166.77,100.7,22.05,22.21,49.59,7
6,134.77,129.1,116.42,148.58,100.7,77.99,49.59,22.05,166.77,8
6,107.82,80.83,94.56,110.2,77.99,68.0,166.77,49.59,100.7,9
6,85.83,97.61,96.11,138.84,68.0,31.88,100.7,166.77,77.99,10
6,20.62,74.4,121.18,69.69,31.88,45.83,77.99,100.7,68.0,11
6,124.04,48.42,116.75,48.76,45.83,26.42,68.0,77.99,31.88,12
6,186.45,92.06,112.5,129.55,26.42,48.51,31.88,68.0,45.83,13
6,99.59,54.09,99.64,36.45,48.51,18.08,45.83,31.88,26.42,14
6,80.47,30.7,142.44,29.3,18.08,53.46,26.42,45.83,48.51,15
6,92.91,27.58,121.67,23.44,53.46,37.2,48.51,26.42,18.08,16
6,43.88,27.7,52.16,25.7,37.2,55.6,18.08,48.51,53.46,17
6,19.72,55.03,31.88,21.11,55.6,35.33,53.46,18.08,37.2,18
6,76.56,64.04,50.27,114.28,35.33,22.43,37.2,53.46,55.6,19
6,81.94,105.74,86.08,118.53,22.43,36.46,55.6,37.2,35.33,20
6,148.92,133.4,169.44,160.78,36.46,106.12,35.33,55.6,22.43,21
6,147.63,143.24,123.5,88.7,106.12,67.32,22.43,35.33,36.46,22
6,58.55,43.82,90.83,34.7,67.32,66.57,36.46,22.43,106.12,23
6,41.15,36.2,67.48,29.64,66.57,24.66,106.12,36.46,67.32,24
7,41.15,34.13,46.71,46.58,24.66,24.69,67.32,106.12,66.57,1
7,22.28,24.26,40.93,30.67,24.69,19.24,66.57,67.32,24.66,2
7,20.02,28.14,61.48,23.46,19.24,19.8,24.66,66.57,24.69,3
7,24.91,25.0,27.29,17.27,19.8,24.49,24.69,24.66,19.24,4
7,24.45,21.18,22.21,24.57,24.49,73.19,19.24,24.69,19.8,5
7,62.27,29.12,22.05,25.68,73.19,134.77,19.8,19.24,24.49,6
7,71.3,61.57,49.59,44.48,134.77,107.82,24.49,19.8,73.19,7
7,129.1,142.1,166.77,116.42,107.82,85.83,73.19,24.49,134.77,8
7,80.83,87.19,100.7,94.56,85.83,20.62,134.77,73.19,107.82,9
7,97.61,76.56,77.99,96.11,20.62,124.04,107.82,134.77,85.83,10
7,74.4,22.55,68.0,121.18,124.04,186.45,85.83,107.82,20.62,11
7,48.42,39.82,31.88,116.75,186.45,99.59,20.62,85.83,124.04,12
7,92.06,24.24,45.83,112.5,99.59,80.47,124.04,20.62,186.45,13
7,54.09,91.94,26.42,99.64,80.47,92.91,186.45,124.04,99.59,14
7,30.7,57.25,48.51,142.44,92.91,43.88,99.59,186.45,80.47,15
7,27.58,117.06,18.08,121.67,43.88,19.72,80.47,99.59,92.91,16
7,27.7,106.67,53.46,52.16,19.72,76.56,92.91,80.47,43.88,17
7,55.03,69.52,37.2,31.88,76.56,81.94,43.88,92.91,19.72,18
7,64.04,91.19,55.6,50.27,81.94,148.92,19.72,43.88,76.56,19
7,105.74,117.04,35.33,86.08,148.92,147.63,76.56,19.72,81.94,20
7,133.4,97.76,22.43,169.44,147.63,58.55,81.94,76.56,148.92,21
7,143.24,100.95,36.46,123.5,58.55,41.15,148.92,81.94,147.63,22
7,43.82,76.42,106.12,90.83,41.15,41.15,147.63,148.92,58.55,23
7,36.2,36.96,67.32,67.48,41.15,22.28,58.55,147.63,41.15,24
8,34.13,56.06,66.57,46.71,22.28,20.02,41.15,58.55,41.15,1
8,24.26,28.71,24.66,40.93,20.02,24.91,41.15,41.15,22.28,2
8,28.14,31.23,24.69,61.48,24.91,24.45,22.28,41.15,20.02,3
8,25.0,26.95,19.24,27.29,24.45,62.27,20.02,22.28,24.91,4
8,21.18,38.74,19.8,22.21,62.27,71.3,24.91,20.02,24.45,5
8,29.12,26.79,24.49,22.05,71.3,129.1,24.45,24.91,62.27,6
8,61.57,23.5,73.19,49.59,129.1,80.83,62.27,24.45,71.3,7
8,142.1,41.91,134.77,166.77,80.83,97.61,71.3,62.27,129.1,8
8,87.19,60.96,107.82,100.7,97.61,74.4,129.1,71.3,80.83,9
8,76.56,48.01,85.83,77.99,74.4,48.42,80.83,129.1,97.61,10
8,22.55,52.13,20.62,68.0,48.42,92.06,97.61,80.83,74.4,11
8,39.82,153.6,124.04,31.88,92.06,54.09,74.4,97.61,48.42,12
8,24.24,119.38,186.45,45.83,54.09,30.7,48.42,74.4,92.06,13
8,91.94,102.04,99.59,26.42,30.7,27.58,92.06,48.42,54.09,14
8,57.25,62.11,80.47,48.51,27.58,27.7,54.09,92.06,30.7,15
8,117.06,28.67,92.91,18.08,27.7,55.03,30.7,54.09,27.58,16
8,106.67,55.68,43.88,53.46,55.03,64.04,27.58,30.7,27.7,17
8,69.52,106.47,19.72,37.2,64.04,105.74,27.7,27.58,55.03,18
8,91.19,100.93,76.56,55.6,105.74,133.4,55.03,27.7,64.04,19
8,117.04,181.36,81.94,35.33,133.4,143.24,64.04,55.03,105.74,20
8,97.76,198.61,148.92,22.43,143.24,43.82,105.74,64.04,133.4,21
8,100.95,233.76,147.63,36.46,43.82,36.2,133.4,105.74,143.24,22
8,76.42,111.98,58.55,106.12,36.2,34.13,143.24,133.4,43.82,23
8,36.96,65.99,41.15,67.32,34.13,24.26,43.82,143.24,36.2,24
9,56.06,29.17,41.15,66.57,24.26,28.14,36.2,43.82,34.13,1
9,28.71,23.23,22.28,24.66,28.14,25.0,34.13,36.2,24.26,2
9,31.23,33.56,20.02,24.69,25.0,21.18,24.26,34.13,28.14,3
9,26.95,27.49,24.91,19.24,21.18,29.12,28.14,24.26,25.0,4
9,38.74,33.33,24.45,19.8,29.12,61.57,25.0,28.14,21.18,5
9,26.79,48.31,62.27,24.49,61.57,142.1,21.18,25.0,29.12,6
9,23.5,52.56,71.3,73.19,142.1,87.19,29.12,21.18,61.57,7
9,41.91,142.21,129.1,134.77,87.19,76.56,61.57,29.12,142.1,8
9,60.96,107.71,80.83,107.82,76.56,22.55,142.1,61.57,87.19,9
9,48.01,93.74,97.61,85.83,22.55,39.82,87.19,142.1,76.56,10
9,52.13,71.63,74.4,20.62,39.82,24.24,76.56,87.19,22.55,11
9,153.6,26.12,48.42,124.04,24.24,91.94,22.55,76.56,39.82,12
9,119.38,42.29,92.06,186.45,91.94,57.25,39.82,22.55,24.24,13
9,102.04,28.58,54.09,99.59,57.25,117.06,24.24,39.82,91.94,14
9,62.11,62.82,30.7,80.47,117.06,106.67,91.94,24.24,57.25,15
9,28.67,37.36,27.58,92.91,106.67,69.52,57.25,91.94,117.06,16
9,55.68,26.79,27.7,43.88,69.52,91.19,117.06,57.25,106.67,17
9,106.47,50.75,55.03,19.72,91.19,117.04,106.67,117.06,69.52,18
9,100.93,42.26,64.04,76.56,117.04,97.76,69.52,106.67,91.19,19
9,181.36,157.97,105.74,81.94,97.76,100.95,91.19,69.52,117.04,20
9,198.61,118.46,133.4,148.92,100.95,76.42,117.04,91.19,97.76,21
9,233.76,187.93,143.24,147.63,76.42,36.96,97.76,117.04,100.95,22
9,111.98,104.38,43.82,58.55,36.96,56.06,100.95,97.76,76.42,23
9,65.99,31.37,36.2,41.15,56.06,28.71,76.42,100.95,36.96,24
10,29.17,21.5,34.13,41.15,28.71,31.23,36.96,76.42,56.06,1
10,23.23,26.37,24.26,22.28,31.23,26.95,56.06,36.96,28.71,2
10,33.56,27.94,28.14,20.02,26.95,38.74,28.71,56.06,31.23,3
10,27.49,17.26,25.0,24.91,38.74,26.79,31.23,28.71,26.95,4
10,33.33,22.35,21.18,24.45,26.79,23.5,26.95,31.23,38.74,5
10,48.31,27.76,29.12,62.27,23.5,41.91,38.74,26.95,26.79,6
10,52.56,72.74,61.57,71.3,41.91,60.96,26.79,38.74,23.5,7
10,142.21,129.75,142.1,129.1,60.96,48.01,23.5,26.79,41.91,8
10,107.71,107.12,87.19,80.83,48.01,52.13,41.91,23.5,60.96,9
10,93.74,97.95,76.56,97.61,52.13,153.6,60.96,41.91,48.01,10
10,71.63,123.6,22.55,74.4,153.6,119.38,48.01,60.96,52.13,11
10,26.12,52.52,39.82,48.42,119.38,102.04,52.13,48.01,153.6,12
10,42.29,97.26,24.24,92.06,102.04,62.11,153.6,52.13,119.38,13
10,28.58,49.6,91.94,54.09,62.11,28.67,119.38,153.6,102.04,14
10,62.82,26.53,57.25,30.7,28.67,55.68,102.04,119.38,62.11,15
10,37.36,37.98,117.06,27.58,55.68,106.47,62.11,102.04,28.67,16
10,26.79,23.84,106.67,27.7,106.47,100.93,28.67,62.11,55.68,17
10,50.75,24.64,69.52,55.03,100.93,181.36,55.68,28.67,106.47,18
10,42.26,126.07,91.19,64.04,181.36,198.61,106.47,55.68,100.93,19
10,157.97,128.38,117.04,105.74,198.61,233.76,100.93,106.47,181.36,20
10,118.46,118.69,97.76,133.4,233.76,111.98,181.36,100.93,198.61,21
10,187.93,75.13,100.95,143.24,111.98,65.99,198.61,181.36,233.76,22
10,104.38,81.66,76.42,43.82,65.99,29.17,233.76,198.61,111.98,23
10,31.37,47.6,36.96,36.2,29.17,23.23,111.98,233.76,65.99,24
11,21.5,21.15,56.06,34.13,23.23,33.56,65.99,111.98,29.17,1
11,26.37,30.65,28.71,24.26,33.56,27.49,29.17,65.99,23.23,2
11,27.94,20.46,31.23,28.14,27.49,33.33,23.23,29.17,33.56,3
11,17.26,22.47,26.95,25.0,33.33,48.31,33.56,23.23,27.49,4
11,22.35,65.99,38.74,21.18,48.31,52.56,27.49,33.56,33.33,5
11,27.76,30.56,26.79,29.12,52.56,142.21,33.33,27.49,48.31,6
11,72.74,57.5,23.5,61.57,142.21,107.71,48.31,33.33,52.56,7
11,129.75,169.03,41.91,142.1,107.71,93.74,52.56,48.31,142.21,8
11,107.12,148.37,60.96,87.19,93.74,71.63,142.21,52.56,107.71,9
11,97.95,98.32,48.01,76.56,71.63,26.12,107.71,142.21,93.74,10
11,123.6,111.12,52.13,22.55,26.12,42.29,93.74,107.71,71.63,11
11,52.52,88.44,153.6,39.82,42.29,28.58,71.63,93.74,26.12,12
11,97.26,93.33,119.38,24.24,28.58,62.82,26.12,71.63,42.29,13
11,49.6,92.2,102.04,91.94,62.82,37.36,42.29,26.12,28.58,14
11,26.53,110.17,62.11,57.25,37.36,26.79,28.58,42.29,62.82,15
11,37.98,123.47,28.67,117.06,26.79,50.75,62.82,28.58,37.36,16
11,23.84,94.62,55.68,106.67,50.75,42.26,37.36,62.82,26.79,17
11,24.64,102.77,106.47,69.52,42.26,157.97,26.79,37.36,50.75,18
11,126.07,51.63,100.93,91.19,157.97,118.46,50.75,26.79,42.26,19
11,128.38,113.11,181.36,117.04,118.46,187.93,42.26,50.75,157.97,20
11,118.69,137.79,198.61,97.76,187.93,104.38,157.97,42.26,118.46,21
11,75.13,115.6,233.76,100.95,104.38,31.37,118.46,157.97,187.93,22
11,81.66,119.14,111.98,76.42,31.37,21.5,187.93,118.46,104.38,23
11,47.6,23.93,65.99,36.96,21.5,26.37,104.38,187.93,31.37,24
12,21.15,19.91,29.17,56.06,26.37,27.94,31.37,104.38,21.5,1
12,30.65,30.72,23.23,28.71,27.94,17.26,21.5,31.37,26.37,2
12,20.46,19.35,33.56,31.23,17.26,22.35,26.37,21.5,27.94,3
12,22.47,22.3,27.49,26.95,22.35,27.76,27.94,26.37,17.26,4
12,65.99,23.31,33.33,38.74,27.76,72.74,17.26,27.94,22.35,5
12,30.56,27.92,48.31,26.79,72.74,129.75,22.35,17.26,27.76,6
12,57.5,70.97,52.56,23.5,129.75,107.12,27.76,22.35,72.74,7
12,169.03,187.83,142.21,41.91,107.12,97.95,72.74,27.76,129.75,8
12,148.37,107.17,107.71,60.96,97.95,123.6,129.75,72.74,107.12,9
12,98.32,188.72,93.74,48.01,123.6,52.52,107.12,129.75,97.95,10
12,111.12,119.22,71.63,52.13,52.52,97.26,97.95,107.12,123.6,11
12,88.44,66.36,26.12,153.6,97.26,49.6,123.6,97.95,52.52,12
12,93.33,56.3,42.29,119.38,49.6,26.53,52.52,123.6,97.26,13
12,92.2,63.4,28.58,102.04,26.53,37.98,97.26,52.52,49.6,14
12,110.17,98.31,62.82,62.11,37.98,23.84,49.6,97.26,26.53,15
12,123.47,59.78,37.36,28.67,23.84,24.64,26.53,49.6,37.98,16
12,94.62,51.15,26.79,55.68,24.64,126.07,37.98,26.53,23.84,17
12,102.77,21.71,50.75,106.47,126.07,128.38,23.84,37.98,24.64,18
12,51.63,111.93,42.26,100.93,128.38,118.69,24.64,23.84,126.07,19
12,113.11,245.79,157.97,181.36,118.69,75.13,126.07,24.64,128.38,20
12,137.79,189.94,118.46,198.61,75.13,81.66,128.38,126.07,118.69,21
12,115.6,192.83,187.93,233.76,81.66,47.6,118.69,128.38,75.13,22
12,119.14,143.9,104.38,111.98,47.6,21.15,75.13,118.69,81.66,23
12,23.93,32.87,31.37,65.99,21.15,30.65,81.66,75.13,47.6,24
13,19.91,23.84,21.5,29.17,30.65,20.46,47.6,81.66,21.15,1
13,30.72,24.4,26.37,23.23,20.46,22.47,21.15,47.6,30.65,2
13,19.35,28.43,27.94,33.56,22.47,65.99,30.65,21.15,20.46,3
13,22.3,18.25,17.26,27.49,65.99,30.56,20.46,30.65,22.47,4
13,23.31,20.22,22.35,33.33,30.56,57.5,22.47,20.46,65.99,5
13,27.92,28.61,27.76,48.31,57.5,169.03,65.99,22.47,30.56,6
13,70.97,75.75,72.74,52.56,169.03,148.37,30.56,65.99,57.5,7
13,187.83,122.73,129.75,142.21,148.37,98.32,57.5,30.56,169.03,8
13,107.17,118.86,107.12,107.71,98.32,111.12,169.03,57.5,148.37,9
13,188.72,100.16,97.95,93.74,111.12,88.44,148.37,169.03,98.32,10
13,119.22,99.78,123.6,71.63,88.44,93.33,98.32,148.37,111.12,11
13,66.36,119.18,52.52,26.12,93.33,92.2,111.12,98.32,88.44,12
13,56.3,116.56,97.26,42.29,92.2,110.17,88.44,111.12,93.33,13
13,63.4,91.53,49.6,28.58,110.17,123.47,93.33,88.44,92.2,14
13,98.31,97.19,26.53,62.82,123.47,94.62,92.2,93.33,110.17,15
13,59.78,36.14,37.98,37.36,94.62,102.77,110.17,92.2,123.47,16
13,51.15,29.92,23.84,26.79,102.77,51.63,123.47,110.17,94.62,17
13,21.71,29.56,24.64,50.75,51.63,113.11,94.62,123.47,102.77,18
13,111.93,89.08,126.07,42.26,113.11,137.79,102.77,94.62,51.63,19
13,245.79,96.71,128.38,157.97,137.79,115.6,51.63,102.77,113.11,20
13,189.94,79.77,118.69,118.46,115.6,119.14,113.11,51.63,137.79,21
13,192.83,59.53,75.13,187.93,119.14,23.93,137.79,113.11,115.6,22
13,143.9,54.52,81.66,104.38,23.93,19.91,115.6,137.79,119.14,23
13,32.87,28.98,47.6,31.37,19.91,30.72,119.14,115.6,23.93,24
14,23.84,30.4,21.15,21.5,30.72,19.35,23.93,119.14,19.91,1
14,24.4,22.9,30.65,26.37,19.35,22.3,19.91,23.93,30.72,2
14,28.43,17.62,20.46,27.94,22.3,23.31,30.72,19.91,19.35,3
14,18.25,22.74,22.47,17.26,23.31,27.92,19.35,30.72,22.3,4
14,20.22,27.27,65.99,22.35,27.92,70.97,22.3,19.35,23.31,5
14,28.61,21.17,30.56,27.76,70.97,187.83,23.31,22.3,27.92,6
14,75.75,43.66,57.5,72.74,187.83,107.17,27.92,23.31,70.97,7
14,122.73,144.49,169.03,129.75,107.17,188.72,70.97,27.92,187.83,8
14,118.86,164.08,148.37,107.12,188.72,119.22,187.83,70.97,107.17,9
14,100.16,204.51,98.32,97.95,119.22,66.36,107.17,187.83,188.72,10
14,99.78,141.69,111.12,123.6,66.36,56.3,188.72,107.17,119.22,11
14,119.18,144.39,88.44,52.52,56.3,63.4,119.22,188.72,66.36,12
14,116.56,250.33,93.33,97.26,63.4,98.31,66.36,119.22,56.3,13
14,91.53,205.51,92.2,49.6,98.31,59.78,56.3,66.36,63.4,14
14,97.19,104.75,110.17,26.53,59.78,51.15,63.4,56.3,98.31,15
14,36.14,29.74,123.47,37.98,51.15,21.71,98.31,63.4,59.78,16
14,29.92,31.03,94.62,23.84,21.71,111.93,59.78,98.31,51.15,17
14,29.56,43.5,102.77,24.64,111.93,245.79,51.15,59.78,21.71,18
14,89.08,195.49,51.63,126.07,245.79,189.94,21.71,51.15,111.93,19
14,96.71,198.77,113.11,128.38,189.94,192.83,111.93,21.71,245.79,20
14,79.77,172.32,137.79,118.69,192.83,143.9,245.79,111.93,189.94,21
14,59.53,231.48,115.6,75.13,143.9,32.87,189.94,245.79,192.83,22
14,54.52,136.52,119.14,81.66,32.87,23.84,192.83,189.94,143.9,23
14,28.98,103.48,23.93,47.6,23.84,24.4,143.9,192.83,32.87,24
15,30.4,87.42,19.91,21.15,24.4,28.43,32.87,143.9,23.84,1
15,22.9,35.44,30.72,30.65,28.43,18.25,23.84,32.87,24.4,2
15,17.62,18.68,19.35,20.46,18.25,20.22,24.4,23.84,28.43,3
15,22.74,18.73,22.3,22.47,20.22,28.61,28.43,24.4,18.25,4
15,27.27,29.36,23.31,65.99,28.61,75.75,18.25,28.43,20.22,5
15,21.17,27.05,27.92,30.56,75.75,122.73,20.22,18.25,28.61,6
15,43.66,65.84,70.97,57.5,122.73,118.86,28.61,20.22,75.75,7
15,144.49,202.01,187.83,169.03,118.86,100.16,75.75,28.61,122.73,8
15,164.08,125.54,107.17,148.37,100.16,99.78,122.73,75.75,118.86,9
15,204.51,122.46,188.72,98.32,99.78,119.18,118.86,122.73,100.16,10
