day,hour_of_day,price_d+1,price_d+2,price_d+3,price_d+4,price_d+5,price_d-1,price_d-2,price_d-3,price_d-4,price_d-5,price_t+1,price_t+2,price_t+3,price_t+4,price_t+5,price_t-1,price_t-2,price_t-3,price_t-4,price_t-5,price_td0,solar_d+1,solar_d+2,solar_d+3,solar_d+4,solar_d+5,solar_d-1,solar_d-2,solar_d-3,solar_d-4,solar_d-5,solar_t+1,solar_t+2,solar_t+3,solar_t+4,solar_t+5,solar_t-1,solar_t-2,solar_t-3,solar_t-4,solar_t-5,solar_td0
2,11,2.92,2.54,2.17,2.97,1.98,3.43,3.43,3.43,3.43,3.43,3.04,3.9,2.43,2.8,2.99,3.82,4.97,5.07,3.81,1.71,3.99,2.92,2.54,2.17,2.97,1.98,3.43,3.43,3.43,3.43,3.43,17.91,17.19,16.65,13.86,8.8,20.76,13.9,11.07,2.13,0.0,18.82
2,12,2.68,2.72,2.36,2.33,3.32,4.31,4.31,4.31,4.31,4.31,3.9,2.43,2.8,2.99,2.69,3.99,3.82,4.97,5.07,3.81,3.04,2.68,2.72,2.36,2.33,3.32,4.31,4.31,4.31,4.31,4.31,17.19,16.65,13.86,8.8,6.7,18.82,20.76,13.9,11.07,2.13,17.91
2,13,2.77,2.41,2.0,2.37,3.19,4.56,4.56,4.56,4.56,4.56,2.43,2.8,2.99,2.69,2.51,3.04,3.99,3.82,4.97,5.07,3.9,2.77,2.41,2.0,2.37,3.19,4.56,4.56,4.56,4.56,4.56,16.65,13.86,8.8,6.7,1.21,17.91,18.82,20.76,13.9,11.07,17.19
2,14,1.31,2.16,1.57,2.17,2.53,3.93,3.93,3.93,3.93,3.93,2.8,2.99,2.69,2.51,2.54,3.9,3.04,3.99,3.82,4.97,2.43,1.31,2.16,1.57,2.17,2.53,3.93,3.93,3.93,3.93,3.93,13.86,8.8,6.7,1.21,0.0,17.19,17.91,18.82,20.76,13.9,16.65
2,15,1.76,2.27,1.23,2.68,2.61,3.5,3.5,3.5,3.5,3.5,2.99,2.69,2.51,2.54,2.86,2.43,3.9,3.04,3.99,3.82,2.8,1.76,2.27,1.23,2.68,2.61,3.5,3.5,3.5,3.5,3.5,8.8,6.7,1.21,0.0,0.0,16.65,17.19,17.91,18.82,20.76,13.86
2,16,2.44,2.16,0.79,1.99,1.21,3.88,3.88,3.88,3.88,3.88,2.69,2.51,2.54,2.86,2.83,2.8,2.43,3.9,3.04,3.99,2.99,2.44,2.16,0.79,1.99,1.21,3.88,3.88,3.88,3.88,3.88,6.7,1.21,0.0,0.0,0.0,13.86,16.65,17.19,17.91,18.82,8.8
2,17,2.48,2.28,1.9,2.13,1.47,3.36,3.36,3.36,3.36,3.36,2.51,2.54,2.86,2.83,2.92,2.99,2.8,2.43,3.9,3.04,2.69,2.48,2.28,1.9,2.13,1.47,3.36,3.36,3.36,3.36,3.36,1.21,0.0,0.0,0.0,0.0,8.8,13.86,16.65,17.19,17.91,6.7
2,18,2.71,2.91,1.94,2.38,2.59,3.43,3.43,3.43,3.43,3.43,2.54,2.86,2.83,2.92,1.8,2.69,2.99,2.8,2.43,3.9,2.51,2.71,2.91,1.94,2.38,2.59,3.43,3.43,3.43,3.43,3.43,0.0,0.0,0.0,0.0,0.0,6.7,8.8,13.86,16.65,17.19,1.21
2,19,3.43,2.56,1.56,2.59,2.92,3.7,3.7,3.7,3.7,3.7,2.86,2.83,2.92,1.8,1.42,2.51,2.69,2.99,2.8,2.43,2.54,3.43,2.56,1.56,2.59,2.92,3.7,3.7,3.7,3.7,3.7,0.0,0.0,0.0,0.0,0.0,1.21,6.7,8.8,13.86,16.65,0.0
2,20,2.89,2.7,2.14,2.42,2.7,2.97,2.97,2.97,2.97,2.97,2.83,2.92,1.8,1.42,1.33,2.54,2.51,2.69,2.99,2.8,2.86,2.89,2.7,2.14,2.42,2.7,2.97,2.97,2.97,2.97,2.97,0.0,0.0,0.0,0.0,0.0,0.0,1.21,6.7,8.8,13.86,0.0
2,21,2.31,2.61,1.5,2.73,3.1,2.43,2.43,2.43,2.43,2.43,2.92,1.8,1.42,1.33,1.56,2.86,2.54,2.51,2.69,2.99,2.83,2.31,2.61,1.5,2.73,3.1,2.43,2.43,2.43,2.43,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,6.7,8.8,0.0
2,22,3.65,2.51,1.5,2.32,2.45,3.35,3.35,3.35,3.35,3.35,1.8,1.42,1.33,1.56,1.19,2.83,2.86,2.54,2.51,2.69,2.92,3.65,2.51,1.5,2.32,2.45,3.35,3.35,3.35,3.35,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,6.7,0.0
2,23,2.31,1.61,1.43,1.92,2.74,2.09,2.09,2.09,2.09,2.09,1.42,1.33,1.56,1.19,1.41,2.92,2.83,2.86,2.54,2.51,1.8,2.31,1.61,1.43,1.92,2.74,2.09,2.09,2.09,2.09,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,0.0
2,24,1.47,1.69,1.34,1.59,1.95,1.49,1.49,1.49,1.49,1.49,1.33,1.56,1.19,1.41,1.38,1.8,2.92,2.83,2.86,2.54,1.42,1.47,1.69,1.34,1.59,1.95,1.49,1.49,1.49,1.49,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,1.64,1.72,1.25,2.0,1.78,1.7,1.28,1.28,1.28,1.28,1.56,1.19,1.41,1.38,1.73,1.42,1.8,2.92,2.83,2.86,1.33,1.64,1.72,1.25,2.0,1.78,1.7,1.28,1.28,1.28,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,1.52,1.63,1.23,1.76,1.57,1.58,1.27,1.27,1.27,1.27,1.19,1.41,1.38,1.73,2.04,1.33,1.42,1.8,2.92,2.83,1.56,1.52,1.63,1.23,1.76,1.57,1.58,1.27,1.27,1.27,1.27,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.0,0.0,0.0
3,3,1.52,1.29,1.46,1.41,1.83,1.49,1.12,1.12,1.12,1.12,1.41,1.38,1.73,2.04,3.47,1.56,1.33,1.42,1.8,2.92,1.19,1.52,1.29,1.46,1.41,1.83,1.49,1.12,1.12,1.12,1.12,0.0,0.0,0.0,2.03,8.94,0.0,0.0,0.0,0.0,0.0,0.0
3,4,1.5,1.47,1.41,1.39,1.76,1.48,0.89,0.89,0.89,0.89,1.38,1.73,2.04,3.47,2.65,1.19,1.56,1.33,1.42,1.8,1.41,1.5,1.47,1.41,1.39,1.76,1.48,0.89,0.89,0.89,0.89,0.0,0.0,2.03,8.94,10.17,0.0,0.0,0.0,0.0,0.0,0.0
3,5,1.83,1.84,1.59,1.96,1.58,1.72,1.32,1.32,1.32,1.32,1.73,2.04,3.47,2.65,3.07,1.41,1.19,1.56,1.33,1.42,1.38,1.83,1.84,1.59,1.96,1.58,1.72,1.32,1.32,1.32,1.32,0.0,2.03,8.94,10.17,14.6,0.0,0.0,0.0,0.0,0.0,0.0
3,6,1.91,1.83,1.4,1.72,1.86,1.71,1.65,1.65,1.65,1.65,2.04,3.47,2.65,3.07,2.92,1.38,1.41,1.19,1.56,1.33,1.73,1.91,1.83,1.4,1.72,1.86,1.71,1.65,1.65,1.65,1.65,2.03,8.94,10.17,14.6,21.02,0.0,0.0,0.0,0.0,0.0,0.0
3,7,2.36,2.38,2.75,3.36,2.78,3.81,4.13,4.13,4.13,4.13,3.47,2.65,3.07,2.92,2.68,1.73,1.38,1.41,1.19,1.56,2.04,2.36,2.38,2.75,3.36,2.78,3.81,4.13,4.13,4.13,4.13,8.94,10.17,14.6,21.02,19.55,0.0,0.0,0.0,0.0,0.0,2.03
3,8,2.58,2.42,3.58,3.21,3.05,5.07,4.62,4.62,4.62,4.62,2.65,3.07,2.92,2.68,2.77,2.04,1.73,1.38,1.41,1.19,3.47,2.58,2.42,3.58,3.21,3.05,5.07,4.62,4.62,4.62,4.62,10.17,14.6,21.02,19.55,18.21,2.03,0.0,0.0,0.0,0.0,8.94
3,9,2.7,2.79,3.62,3.38,3.94,4.97,5.32,5.32,5.32,5.32,3.07,2.92,2.68,2.77,1.31,3.47,2.04,1.73,1.38,1.41,2.65,2.7,2.79,3.62,3.38,3.94,4.97,5.32,5.32,5.32,5.32,14.6,21.02,19.55,18.21,13.36,8.94,2.03,0.0,0.0,0.0,10.17
3,10,3.42,2.72,3.21,2.29,2.77,3.82,4.79,4.79,4.79,4.79,2.92,2.68,2.77,1.31,1.76,2.65,3.47,2.04,1.73,1.38,3.07,3.42,2.72,3.21,2.29,2.77,3.82,4.79,4.79,4.79,4.79,21.02,19.55,18.21,13.36,7.98,10.17,8.94,2.03,0.0,0.0,14.6
3,11,2.54,2.17,2.97,1.98,2.53,3.99,3.43,3.43,3.43,3.43,2.68,2.77,1.31,1.76,2.44,3.07,2.65,3.47,2.04,1.73,2.92,2.54,2.17,2.97,1.98,2.53,3.99,3.43,3.43,3.43,3.43,19.55,18.21,13.36,7.98,6.8,14.6,10.17,8.94,2.03,0.0,21.02
3,12,2.72,2.36,2.33,3.32,3.01,3.04,4.31,4.31,4.31,4.31,2.77,1.31,1.76,2.44,2.48,2.92,3.07,2.65,3.47,2.04,2.68,2.72,2.36,2.33,3.32,3.01,3.04,4.31,4.31,4.31,4.31,18.21,13.36,7.98,6.8,6.98,21.02,14.6,10.17,8.94,2.03,19.55
3,13,2.41,2.0,2.37,3.19,3.68,3.9,4.56,4.56,4.56,4.56,1.31,1.76,2.44,2.48,2.71,2.68,2.92,3.07,2.65,3.47,2.77,2.41,2.0,2.37,3.19,3.68,3.9,4.56,4.56,4.56,4.56,13.36,7.98,6.8,6.98,3.3,19.55,21.02,14.6,10.17,8.94,18.21
3,14,2.16,1.57,2.17,2.53,2.64,2.43,3.93,3.93,3.93,3.93,1.76,2.44,2.48,2.71,3.43,2.77,2.68,2.92,3.07,2.65,1.31,2.16,1.57,2.17,2.53,2.64,2.43,3.93,3.93,3.93,3.93,7.98,6.8,6.98,3.3,0.0,18.21,19.55,21.02,14.6,10.17,13.36
3,15,2.27,1.23,2.68,2.61,3.22,2.8,3.5,3.5,3.5,3.5,2.44,2.48,2.71,3.43,2.89,1.31,2.77,2.68,2.92,3.07,1.76,2.27,1.23,2.68,2.61,3.22,2.8,3.5,3.5,3.5,3.5,6.8,6.98,3.3,0.0,0.0,13.36,18.21,19.55,21.02,14.6,7.98
3,16,2.16,0.79,1.99,1.21,1.81,2.99,3.88,3.88,3.88,3.88,2.48,2.71,3.43,2.89,2.31,1.76,1.31,2.77,2.68,2.92,2.44,2.16,0.79,1.99,1.21,1.81,2.99,3.88,3.88,3.88,3.88,6.98,3.3,0.0,0.0,0.0,7.98,13.36,18.21,19.55,21.02,6.8
3,17,2.28,1.9,2.13,1.47,2.09,2.69,3.36,3.36,3.36,3.36,2.71,3.43,2.89,2.31,3.65,2.44,1.76,1.31,2.77,2.68,2.48,2.28,1.9,2.13,1.47,2.09,2.69,3.36,3.36,3.36,3.36,3.3,0.0,0.0,0.0,0.0,6.8,7.98,13.36,18.21,19.55,6.98
3,18,2.91,1.94,2.38,2.59,2.83,2.51,3.43,3.43,3.43,3.43,3.43,2.89,2.31,3.65,2.31,2.48,2.44,1.76,1.31,2.77,2.71,2.91,1.94,2.38,2.59,2.83,2.51,3.43,3.43,3.43,3.43,0.0,0.0,0.0,0.0,0.0,6.98,6.8,7.98,13.36,18.21,3.3
3,19,2.56,1.56,2.59,2.92,2.72,2.54,3.7,3.7,3.7,3.7,2.89,2.31,3.65,2.31,1.47,2.71,2.48,2.44,1.76,1.31,3.43,2.56,1.56,2.59,2.92,2.72,2.54,3.7,3.7,3.7,3.7,0.0,0.0,0.0,0.0,0.0,3.3,6.98,6.8,7.98,13.36,0.0
3,20,2.7,2.14,2.42,2.7,2.99,2.86,2.97,2.97,2.97,2.97,2.31,3.65,2.31,1.47,1.64,3.43,2.71,2.48,2.44,1.76,2.89,2.7,2.14,2.42,2.7,2.99,2.86,2.97,2.97,2.97,2.97,0.0,0.0,0.0,0.0,0.0,0.0,3.3,6.98,6.8,7.98,0.0
3,21,2.61,1.5,2.73,3.1,2.76,2.83,2.43,2.43,2.43,2.43,3.65,2.31,1.47,1.64,1.52,2.89,3.43,2.71,2.48,2.44,2.31,2.61,1.5,2.73,3.1,2.76,2.83,2.43,2.43,2.43,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,6.98,6.8,0.0
3,22,2.51,1.5,2.32,2.45,2.75,2.92,3.35,3.35,3.35,3.35,2.31,1.47,1.64,1.52,1.52,2.31,2.89,3.43,2.71,2.48,3.65,2.51,1.5,2.32,2.45,2.75,2.92,3.35,3.35,3.35,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,6.98,0.0
3,23,1.61,1.43,1.92,2.74,2.43,1.8,2.09,2.09,2.09,2.09,1.47,1.64,1.52,1.52,1.5,3.65,2.31,2.89,3.43,2.71,2.31,1.61,1.43,1.92,2.74,2.43,1.8,2.09,2.09,2.09,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0
3,24,1.69,1.34,1.59,1.95,1.91,1.42,1.49,1.49,1.49,1.49,1.64,1.52,1.52,1.5,1.83,2.31,3.65,2.31,2.89,3.43,1.47,1.69,1.34,1.59,1.95,1.91,1.42,1.49,1.49,1.49,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,1.72,1.25,2.0,1.78,2.35,1.33,1.7,1.28,1.28,1.28,1.52,1.52,1.5,1.83,1.91,1.47,2.31,3.65,2.31,2.89,1.64,1.72,1.25,2.0,1.78,2.35,1.33,1.7,1.28,1.28,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,1.63,1.23,1.76,1.57,1.94,1.56,1.58,1.27,1.27,1.27,1.52,1.5,1.83,1.91,2.36,1.64,1.47,2.31,3.65,2.31,1.52,1.63,1.23,1.76,1.57,1.94,1.56,1.58,1.27,1.27,1.27,0.0,0.0,0.0,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0
4,3,1.29,1.46,1.41,1.83,1.65,1.19,1.49,1.12,1.12,1.12,1.5,1.83,1.91,2.36,2.58,1.52,1.64,1.47,2.31,3.65,1.52,1.29,1.46,1.41,1.83,1.65,1.19,1.49,1.12,1.12,1.12,0.0,0.0,0.0,1.91,9.96,0.0,0.0,0.0,0.0,0.0,0.0
4,4,1.47,1.41,1.39,1.76,2.04,1.41,1.48,0.89,0.89,0.89,1.83,1.91,2.36,2.58,2.7,1.52,1.52,1.64,1.47,2.31,1.5,1.47,1.41,1.39,1.76,2.04,1.41,1.48,0.89,0.89,0.89,0.0,0.0,1.91,9.96,15.21,0.0,0.0,0.0,0.0,0.0,0.0
4,5,1.84,1.59,1.96,1.58,2.25,1.38,1.72,1.32,1.32,1.32,1.91,2.36,2.58,2.7,3.42,1.5,1.52,1.52,1.64,1.47,1.83,1.84,1.59,1.96,1.58,2.25,1.38,1.72,1.32,1.32,1.32,0.0,1.91,9.96,15.21,18.9,0.0,0.0,0.0,0.0,0.0,0.0
4,6,1.83,1.4,1.72,1.86,1.96,1.73,1.71,1.65,1.65,1.65,2.36,2.58,2.7,3.42,2.54,1.83,1.5,1.52,1.52,1.64,1.91,1.83,1.4,1.72,1.86,1.96,1.73,1.71,1.65,1.65,1.65,1.91,9.96,15.21,18.9,17.8,0.0,0.0,0.0,0.0,0.0,0.0
