actual,curr_pred,exp_ma,hour,slope1,slope2,t1,t2,t3,t4,t5,t6,t7
24.11,23.38,178.939583937,12,-1.19,-1.96,24.67,22.27,16.99,28.3,13.82,22.68,20.32
24.87,21.42,178.939583937,13,-1.96,3.84,22.74,18.27,16.96,25.78,16.36,21.02,24.17
24.08,25.26,178.939583937,14,3.84,-2.55,22.99,19.63,17.23,26.98,15.38,15.15,19.75
20.96,22.71,178.939583937,15,-2.55,-10.89,20.57,16.01,19.7,22.89,10.42,11.35,18.38
12.62,11.82,178.939583937,16,-10.89,-11.42,12.11,11.34,10.31,14.5,7.02,7.3,9.82
0.39,0.4,178.939583937,17,-11.42,-0.4,0.29,0.29,0.17,0.2,0.12,0.13,0.19
0,0,178.939583937,18,-0.4,0,0,0,0,0,0,0,0
0,0,178.939583937,19,0,0,0,0,0,0,0,0,0
0,0,178.939583937,20,0,0,0,0,0,0,0,0,0
0,0,178.939583937,21,0,0,0,0,0,0,0,0,0
0,0,178.939583937,22,0,0,0,0,0,0,0,0,0
0,0,178.939583937,23,0,0,0,0,0,0,0,0,0
0,0,179.779267602,0,0,0,0,0,0,0,0,0,0
0,0,179.779267602,1,0,0,0,0,0,0,0,0,0
0,0,179.779267602,2,0,0,0,0,0,0,0,0,0
0,0,179.779267602,3,0,0,0,0,0,0,0,0,0
0,0,179.779267602,4,0,0,0,0,0,0,0,0,0
0,0,179.779267602,5,0,0,0,0,0,0,0,0,0
0,0,179.779267602,6,0,5.66,0,0,0,0,0,0,0
6.41,5.66,179.779267602,7,5.66,13.41,6,5.41,6.37,6.1,6.48,1.34,4.91
17.08,19.07,179.779267602,8,13.41,1.02,18.38,16.89,16.95,14.76,18.03,5.89,12.33
22.32,20.09,179.779267602,9,1.02,5.12,21.32,20.86,22.94,23.65,18.76,8.96,17.79
24.44,25.21,179.779267602,10,5.12,-3.11,22.22,20.71,19.34,20.27,25.16,10.56,21.77
25.11,22.1,179.779267602,11,-3.11,4.17,24.57,25.6,22.27,13.93,23.28,11.54,22.4
25.41,26.27,179.779267602,12,4.17,0.9,23.38,24.67,22.27,16.99,28.3,13.82,22.68
24.93,27.17,179.779267602,13,0.9,-5.96,21.42,22.74,18.27,16.96,25.78,16.36,21.02
23.73,21.21,179.779267602,14,-5.96,0.44,25.26,22.99,19.63,17.23,26.98,15.38,15.15
21.34,21.65,179.779267602,15,0.44,-6.93,22.71,20.57,16.01,19.7,22.89,10.42,11.35
13.96,14.72,179.779267602,16,-6.93,-14.28,11.82,12.11,11.34,10.31,14.5,7.02,7.3
0.42,0.44,179.779267602,17,-14.28,-0.44,0.4,0.29,0.29,0.17,0.2,0.12,0.13
0,0,179.779267602,18,-0.44,0,0,0,0,0,0,0,0
0,0,179.779267602,19,0,0,0,0,0,0,0,0,0
0,0,179.779267602,20,0,0,0,0,0,0,0,0,0
0,0,179.779267602,21,0,0,0,0,0,0,0,0,0
0,0,179.779267602,22,0,0,0,0,0,0,0,0,0
0,0,179.779267602,23,0,0,0,0,0,0,0,0,0
0,0,179.572526067,0,0,0,0,0,0,0,0,0,0
0,0,179.572526067,1,0,0,0,0,0,0,0,0,0
0,0,179.572526067,2,0,0,0,0,0,0,0,0,0
0,0,179.572526067,3,0,0,0,0,0,0,0,0,0
0,0,179.572526067,4,0,0,0,0,0,0,0,0,0
0,0,179.572526067,5,0,0,0,0,0,0,0,0,0
0,0,179.572526067,6,0,2.78,0,0,0,0,0,0,0
3.16,2.78,179.572526067,7,2.78,9.34,5.66,6,5.41,6.37,6.1,6.48,1.34
11.21,12.12,179.572526067,8,9.34,5.08,19.07,18.38,16.89,16.95,14.76,18.03,5.89
16.84,17.2,179.572526067,9,5.08,3.93,20.09,21.32,20.86,22.94,23.65,18.76,8.96
20.25,21.13,179.572526067,10,3.93,2.35,25.21,22.22,20.71,19.34,20.27,25.16,10.56
21.85,23.48,179.572526067,11,2.35,0.86,22.1,24.57,25.6,22.27,13.93,23.28,11.54
22.88,24.34,179.572526067,12,0.86,-1.92,26.27,23.38,24.67,22.27,16.99,28.3,13.82
23.28,22.42,179.572526067,13,-1.92,-0.76,27.17,21.42,22.74,18.27,16.96,25.78,16.36
22.53,21.66,179.572526067,14,-0.76,-1.58,21.21,25.26,22.99,19.63,17.23,26.98,15.38
17.88,20.08,179.572526067,15,-1.58,-11.78,21.65,22.71,20.57,16.01,19.7,22.89,10.42
8.9,8.3,179.572526067,16,-11.78,-8.1,14.72,11.82,12.11,11.34,10.31,14.5,7.02
0.2,0.2,179.572526067,17,-8.1,-0.2,0.44,0.4,0.29,0.29,0.17,0.2,0.12
0,0,179.572526067,18,-0.2,0,0,0,0,0,0,0,0
0,0,179.572526067,19,0,0,0,0,0,0,0,0,0
0,0,179.572526067,20,0,0,0,0,0,0,0,0,0
0,0,179.572526067,21,0,0,0,0,0,0,0,0,0
0,0,179.572526067,22,0,0,0,0,0,0,0,0,0
0,0,179.572526067,23,0,0,0,0,0,0,0,0,0
0,0,175.86392815,0,0,0,0,0,0,0,0,0,0
0,0,175.86392815,1,0,0,0,0,0,0,0,0,0
0,0,175.86392815,2,0,0,0,0,0,0,0,0,0
0,0,175.86392815,3,0,0,0,0,0,0,0,0,0
0,0,175.86392815,4,0,0,0,0,0,0,0,0,0
0,0,175.86392815,5,0,0,0,0,0,0,0,0,0
0,0,175.86392815,6,0,0.58,0,0,0,0,0,0,0
0.52,0.58,175.86392815,7,0.58,2.25,2.78,5.66,6,5.41,6.37,6.1,6.48
2.72,2.83,175.86392815,8,2.25,2.65,12.12,19.07,18.38,16.89,16.95,14.76,18.03
5.17,5.48,175.86392815,9,2.65,1.02,17.2,20.09,21.32,20.86,22.94,23.65,18.76
7.09,6.5,175.86392815,10,1.02,1.27,21.13,25.21,22.22,20.71,19.34,20.27,25.16
8.85,7.77,175.86392815,11,1.27,1.05,23.48,22.1,24.57,25.6,22.27,13.93,23.28
10.28,8.82,175.86392815,12,1.05,3.72,24.34,26.27,23.38,24.67,22.27,16.99,28.3
11.86,12.54,175.86392815,13,3.72,0,22.42,27.17,21.42,22.74,18.27,16.96,25.78
11.42,12.54,175.86392815,14,0,-2.94,21.66,21.21,25.26,22.99,19.63,17.23,26.98
8.42,9.6,175.86392815,15,-2.94,-5.71,20.08,21.65,22.71,20.57,16.01,19.7,22.89
4.36,3.89,175.86392815,16,-5.71,-3.74,8.3,14.72,11.82,12.11,11.34,10.31,14.5
0.15,0.15,175.86392815,17,-3.74,-0.15,0.2,0.44,0.4,0.29,0.29,0.17,0.2
0,0,175.86392815,18,-0.15,0,0,0,0,0,0,0,0
0,0,175.86392815,19,0,0,0,0,0,0,0,0,0
0,0,175.86392815,20,0,0,0,0,0,0,0,0,0
0,0,175.86392815,21,0,0,0,0,0,0,0,0,0
0,0,175.86392815,22,0,0,0,0,0,0,0,0,0
0,0,175.86392815,23,0,0,0,0,0,0,0,0,0
0,0,176.43470147,0,0,0,0,0,0,0,0,0,0
0,0,176.43470147,1,0,0,0,0,0,0,0,0,0
0,0,176.43470147,2,0,0,0,0,0,0,0,0,0
0,0,176.43470147,3,0,0,0,0,0,0,0,0,0
0,0,176.43470147,4,0,0,0,0,0,0,0,0,0
0,0,176.43470147,5,0,0,0,0,0,0,0,0,0
0,0,176.43470147,6,0,6.42,0,0,0,0,0,0,0
5.63,6.42,176.43470147,7,6.42,10.83,0.58,2.78,5.66,6,5.41,6.37,6.1
16.45,17.25,176.43470147,8,10.83,2.84,2.83,12.12,19.07,18.38,16.89,16.95,14.76
21.83,20.09,176.43470147,9,2.84,6.1,5.48,17.2,20.09,21.32,20.86,22.94,23.65
22.82,26.19,176.43470147,10,6.1,-5.99,6.5,21.13,25.21,22.22,20.71,19.34,20.27
22.23,20.2,176.43470147,11,-5.99,2.35,7.77,23.48,22.1,24.57,25.6,22.27,13.93
22.45,22.55,176.43470147,12,2.35,-0.58,8.82,24.34,26.27,23.38,24.67,22.27,16.99
21.93,21.97,176.43470147,13,-0.58,-0.28,12.54,22.42,27.17,21.42,22.74,18.27,16.96
20.18,21.69,176.43470147,14,-0.28,-0.4,12.54,21.66,21.21,25.26,22.99,19.63,17.23
18.61,21.29,176.43470147,15,-0.4,-6.94,9.6,20.08,21.65,22.71,20.57,16.01,19.7
13.53,14.35,176.43470147,16,-6.94,-13.73,3.89,8.3,14.72,11.82,12.11,11.34,10.31
0.54,0.62,176.43470147,17,-13.73,-0.62,0.15,0.2,0.44,0.4,0.29,0.29,0.17
0,0,176.43470147,18,-0.62,0,0,0,0,0,0,0,0
0,0,176.43470147,19,0,0,0,0,0,0,0,0,0
0,0,176.43470147,20,0,0,0,0,0,0,0,0,0
0,0,176.43470147,21,0,0,0,0,0,0,0,0,0
0,0,176.43470147,22,0,0,0,0,0,0,0,0,0
0,0,176.43470147,23,0,0,0,0,0,0,0,0,0
0,0,177.287836281,0,0,0,0,0,0,0,0,0,0
0,0,177.287836281,1,0,0,0,0,0,0,0,0,0
0,0,177.287836281,2,0,0,0,0,0,0,0,0,0
0,0,177.287836281,3,0,0,0,0,0,0,0,0,0
0,0,177.287836281,4,0,0,0,0,0,0,0,0,0
0,0,177.287836281,5,0,0,0,0,0,0,0,0,0
0,0,177.287836281,6,0,6.23,0,0,0,0,0,0,0
6.02,6.23,177.287836281,7,6.23,10.01,6.42,0.58,2.78,5.66,6,5.41,6.37
16.38,16.24,177.287836281,8,10.01,4.11,17.25,2.83,12.12,19.07,18.38,16.89,16.95
21.77,20.35,177.287836281,9,4.11,1.9,20.09,5.48,17.2,20.09,21.32,20.86,22.94
23.79,22.25,177.287836281,10,1.9,0.4,26.19,6.5,21.13,25.21,22.22,20.71,19.34
24.41,22.65,177.287836281,11,0.4,5.19,20.2,7.77,23.48,22.1,24.57,25.6,22.27
24.61,27.84,177.287836281,12,5.19,-0.91,22.55,8.82,24.34,26.27,23.38,24.67,22.27
24.15,26.93,177.287836281,13,-0.91,-1.7,21.97,12.54,22.42,27.17,21.42,22.74,18.27
22.65,25.23,177.287836281,14,-1.7,-4.27,21.69,12.54,21.66,21.21,25.26,22.99,19.63
20.46,20.96,177.287836281,15,-4.27,-8.66,21.29,9.6,20.08,21.65,22.71,20.57,16.01
13.68,12.3,177.287836281,16,-8.66,-11.8,14.35,3.89,8.3,14.72,11.82,12.11,11.34
0.57,0.5,177.287836281,17,-11.8,-0.5,0.62,0.15,0.2,0.44,0.4,0.29,0.29
0,0,177.287836281,18,-0.5,0,0,0,0,0,0,0,0
0,0,177.287836281,19,0,0,0,0,0,0,0,0,0
0,0,177.287836281,20,0,0,0,0,0,0,0,0,0
0,0,177.287836281,21,0,0,0,0,0,0,0,0,0
0,0,177.287836281,22,0,0,0,0,0,0,0,0,0
0,0,177.287836281,23,0,0,0,0,0,0,0,0,0
0,0,177.668401191,0,0,0,0,0,0,0,0,0,0
0,0,177.668401191,1,0,0,0,0,0,0,0,0,0
0,0,177.668401191,2,0,0,0,0,0,0,0,0,0
0,0,177.668401191,3,0,0,0,0,0,0,0,0,0
0,0,177.668401191,4,0,0,0,0,0,0,0,0,0
0,0,177.668401191,5,0,0,0,0,0,0,0,0,0
0,0,177.668401191,6,0,6.05,0,0,0,0,0,0,0
6.23,6.05,177.668401191,7,6.05,10.21,6.23,6.42,0.58,2.78,5.66,6,5.41
17.34,16.26,177.668401191,8,10.21,5.95,16.24,17.25,2.83,12.12,19.07,18.38,16.89
22.22,22.21,177.668401191,9,5.95,0.96,20.35,20.09,5.48,17.2,20.09,21.32,20.86
22.93,23.17,177.668401191,10,0.96,-3.75,22.25,26.19,6.5,21.13,25.21,22.22,20.71
21.84,19.42,177.668401191,11,-3.75,5.11,22.65,20.2,7.77,23.48,22.1,24.57,25.6
22.08,24.53,177.668401191,12,5.11,-0.02,27.84,22.55,8.82,24.34,26.27,23.38,24.67
21.55,24.51,177.668401191,13,-0.02,-4.89,26.93,21.97,12.54,22.42,27.17,21.42,22.74
19.85,19.62,177.668401191,14,-4.89,-1.74,25.23,21.69,12.54,21.66,21.21,25.26,22.99
18.39,17.88,177.668401191,15,-1.74,-3.75,20.96,21.29,9.6,20.08,21.65,22.71,20.57
13.57,14.13,177.668401191,16,-3.75,-13.45,12.3,14.35,3.89,8.3,14.72,11.82,12.11
0.61,0.68,177.668401191,17,-13.45,-0.68,0.5,0.62,0.15,0.2,0.44,0.4,0.29
0,0,177.668401191,18,-0.68,0,0,0,0,0,0,0,0
0,0,177.668401191,19,0,0,0,0,0,0,0,0,0
0,0,177.668401191,20,0,0,0,0,0,0,0,0,0
0,0,177.668401191,21,0,0,0,0,0,0,0,0,0
0,0,177.668401191,22,0,0,0,0,0,0,0,0,0
0,0,177.668401191,23,0,0,0,0,0,0,0,0,0
0,0,178.292502106,0,0,0,0,0,0,0,0,0,0
0,0,178.292502106,1,0,0,0,0,0,0,0,0,0
0,0,178.292502106,2,0,0,0,0,0,0,0,0,0
0,0,178.292502106,3,0,0,0,0,0,0,0,0,0
0,0,178.292502106,4,0,0,0,0,0,0,0,0,0
0,0,178.292502106,5,0,0,0,0,0,0,0,0,0
0,0,178.292502106,6,0,5.05,0,0,0,0,0,0,0
5.64,5.05,178.292502106,7,5.05,9.59,6.05,6.23,6.42,0.58,2.78,5.66,6
15.43,14.64,178.292502106,8,9.59,5.32,16.26,16.24,17.25,2.83,12.12,19.07,18.38
20.68,19.96,178.292502106,9,5.32,4.24,22.21,20.35,20.09,5.48,17.2,20.09,21.32
23.38,24.2,178.292502106,10,4.24,-0.74,23.17,22.25,26.19,6.5,21.13,25.21,22.22
24.45,23.46,178.292502106,11,-0.74,-0.96,19.42,22.65,20.2,7.77,23.48,22.1,24.57
24.72,22.5,178.292502106,12,-0.96,4,24.53,27.84,22.55,8.82,24.34,26.27,23.38
24.43,26.5,178.292502106,13,4,-1.79,24.51,26.93,21.97,12.54,22.42,27.17,21.42
23.04,24.71,178.292502106,14,-1.79,-2.87,19.62,25.23,21.69,12.54,21.66,21.21,25.26
19.94,21.84,178.292502106,15,-2.87,-9.27,17.88,20.96,21.29,9.6,20.08,21.65,22.71
12.61,12.57,178.292502106,16,-9.27,-12.01,14.13,12.3,14.35,3.89,8.3,14.72,11.82
0.6,0.56,178.292502106,17,-12.01,-0.56,0.68,0.5,0.62,0.15,0.2,0.44,0.4
0,0,178.292502106,18,-0.56,0,0,0,0,0,0,0,0
0,0,178.292502106,19,0,0,0,0,0,0,0,0,0
0,0,178.292502106,20,0,0,0,0,0,0,0,0,0
0,0,178.292502106,21,0,0,0,0,0,0,0,0,0
0,0,178.292502106,22,0,0,0,0,0,0,0,0,0
0,0,178.292502106,23,0,0,0,0,0,0,0,0,0
0,0,178.924979247,0,0,0,0,0,0,0,0,0,0
0,0,178.924979247,1,0,0,0,0,0,0,0,0,0
0,0,178.924979247,2,0,0,0,0,0,0,0,0,0
0,0,178.924979247,3,0,0,0,0,0,0,0,0,0
0,0,178.924979247,4,0,0,0,0,0,0,0,0,0
0,0,178.924979247,5,0,0,0,0,0,0,0,0,0
0,0,178.924979247,6,0,6.91,0,0,0,0,0,0,0
6.11,6.91,178.924979247,7,6.91,12.01,5.05,6.05,6.23,6.42,0.58,2.78,5.66
16.88,18.92,178.924979247,8,12.01,1.14,14.64,16.26,16.24,17.25,2.83,12.12,19.07
21.5,20.06,178.924979247,9,1.14,5.59,19.96,22.21,20.35,20.09,5.48,17.2,20.09
22.45,25.65,178.924979247,10,5.59,-2.67,24.2,23.17,22.25,26.19,6.5,21.13,25.21
21.91,22.98,178.924979247,11,-2.67,-2.39,23.46,19.42,22.65,20.2,7.77,23.48,22.1
23.61,20.59,178.924979247,12,-2.39,0.69,22.5,24.53,27.84,22.55,8.82,24.34,26.27
24.57,21.28,178.924979247,13,0.69,1.31,26.5,24.51,26.93,21.97,12.54,22.42,27.17
24.29,22.59,178.924979247,14,1.31,1.89,24.71,19.62,25.23,21.69,12.54,21.66,21.21
21.51,24.48,178.924979247,15,1.89,-12.15,21.84,17.88,20.96,21.29,9.6,20.08,21.65
14.36,12.33,178.924979247,16,-12.15,-11.26,12.57,14.13,12.3,14.35,3.89,8.3,14.72
0.94,1.07,178.924979247,17,-11.26,-1.07,0.56,0.68,0.5,0.62,0.15,0.2,0.44
0,0,178.924979247,18,-1.07,0,0,0,0,0,0,0,0
0,0,178.924979247,19,0,0,0,0,0,0,0,0,0
0,0,178.924979247,20,0,0,0,0,0,0,0,0,0
0,0,178.924979247,21,0,0,0,0,0,0,0,0,0
0,0,178.924979247,22,0,0,0,0,0,0,0,0,0
0,0,178.924979247,23,0,0,0,0,0,0,0,0,0
0,0,179.255227245,0,0,0,0,0,0,0,0,0,0
0,0,179.255227245,1,0,0,0,0,0,0,0,0,0
0,0,179.255227245,2,0,0,0,0,0,0,0,0,0
0,0,179.255227245,3,0,0,0,0,0,0,0,0,0
0,0,179.255227245,4,0,0,0,0,0,0,0,0,0
0,0,179.255227245,5,0,0,0,0,0,0,0,0,0
0,0,179.255227245,6,0,6.36,0,0,0,0,0,0,0
6.01,6.36,179.255227245,7,6.36,10.48,6.91,5.05,6.05,6.23,6.42,0.58,2.78
16.85,16.84,179.255227245,8,10.48,3.46,18.92,14.64,16.26,16.24,17.25,2.83,12.12
22.12,20.3,179.255227245,9,3.46,0.98,20.06,19.96,22.21,20.35,20.09,5.48,17.2
23.9,21.28,179.255227245,10,0.98,2.18,25.65,24.2,23.17,22.25,26.19,6.5,21.13
24.38,23.46,179.255227245,11,2.18,-0.99,22.98,23.46,19.42,22.65,20.2,7.77,23.48
24.46,22.47,179.255227245,12,-0.99,1.42,20.59,22.5,24.53,27.84,22.55,8.82,24.34
24,23.89,179.255227245,13,1.42,-2.06,21.28,26.5,24.51,26.93,21.97,12.54,22.42
22.5,21.83,179.255227245,14,-2.06,-3.1,22.59,24.71,19.62,25.23,21.69,12.54,21.66
19.53,18.73,179.255227245,15,-3.1,-6.02,24.48,21.84,17.88,20.96,21.29,9.6,20.08
12.33,12.71,179.255227245,16,-6.02,-11.96,12.33,12.57,14.13,12.3,14.35,3.89,8.3
0.72,0.75,179.255227245,17,-11.96,-0.75,1.07,0.56,0.68,0.5,0.62,0.15,0.2
0,0,179.255227245,18,-0.75,0,0,0,0,0,0,0,0
0,0,179.255227245,19,0,0,0,0,0,0,0,0,0
0,0,179.255227245,20,0,0,0,0,0,0,0,0,0
0,0,179.255227245,21,0,0,0,0,0,0,0,0,0
0,0,179.255227245,22,0,0,0,0,0,0,0,0,0
0,0,179.255227245,23,0,0,0,0,0,0,0,0,0
0,0,175.650431513,0,0,0,0,0,0,0,0,0,0
0,0,175.650431513,1,0,0,0,0,0,0,0,0,0
0,0,175.650431513,2,0,0,0,0,0,0,0,0,0
0,0,175.650431513,3,0,0,0,0,0,0,0,0,0
0,0,175.650431513,4,0,0,0,0,0,0,0,0,0
0,0,175.650431513,5,0,0,0,0,0,0,0,0,0
0,0,175.650431513,6,0,0.79,0,0,0,0,0,0,0
0.7,0.79,175.650431513,7,0.79,2.25,6.36,6.91,5.05,6.05,6.23,6.42,0.58
2.75,3.04,175.650431513,8,2.25,2.06,16.84,18.92,14.64,16.26,16.24,17.25,2.83
5.24,5.1,175.650431513,9,2.06,2.81,20.3,20.06,19.96,22.21,20.35,20.09,5.48
7.2,7.91,175.650431513,10,2.81,-0.76,21.28,25.65,24.2,23.17,22.25,26.19,6.5
8.39,7.15,175.650431513,11,-0.76,2.74,23.46,22.98,23.46,19.42,22.65,20.2,7.77
10.49,9.89,175.650431513,12,2.74,2.68,22.47,20.59,22.5,24.53,27.84,22.55,8.82
12.12,12.57,175.650431513,13,2.68,0.14,23.89,21.28,26.5,24.51,26.93,21.97,12.54
11.79,12.71,175.650431513,14,0.14,-3.92,21.83,22.59,24.71,19.62,25.23,21.69,12.54
8.84,8.79,175.650431513,15,-3.92,-3.56,18.73,24.48,21.84,17.88,20.96,21.29,9.6
4.86,5.23,175.650431513,16,-3.56,-4.98,12.71,12.33,12.57,14.13,12.3,14.35,3.89
0.24,0.25,175.650431513,17,-4.98,-0.25,0.75,1.07,0.56,0.68,0.5,0.62,0.15
0,0,175.650431513,18,-0.25,0,0,0,0,0,0,0,0
0,0,175.650431513,19,0,0,0,0,0,0,0,0,0
0,0,175.650431513,20,0,0,0,0,0,0,0,0,0
0,0,175.650431513,21,0,0,0,0,0,0,0,0,0
0,0,175.650431513,22,0,0,0,0,0,0,0,0,0
0,0,175.650431513,23,0,0,0,0,0,0,0,0,0
0,0,174.522909301,0,0,0,0,0,0,0,0,0,0
0,0,174.522909301,1,0,0,0,0,0,0,0,0,0
0,0,174.522909301,2,0,0,0,0,0,0,0,0,0
0,0,174.522909301,3,0,0,0,0,0,0,0,0,0
0,0,174.522909301,4,0,0,0,0,0,0,0,0,0
0,0,174.522909301,5,0,0,0,0,0,0,0,0,0
0,0,174.522909301,6,0,5.31,0,0,0,0,0,0,0
