day,demand_act,demand_d+1,demand_d+2,demand_d-1,demand_d-2,demand_t+1,demand_t+2,demand_t-1,demand_t-2,demand_td0,hour_of_day
2,25.97,109.16,20.4,136.62,136.62,28.77,24.04,23.31,27.21,29.27,12
2,25.56,235.36,21.41,145.43,145.43,24.04,30.11,29.27,23.31,28.77,13
2,27.54,191.81,21.98,143.96,143.96,30.11,98.29,28.77,29.27,24.04,14
2,26.31,111.8,20.26,88.78,88.78,98.29,84.79,24.04,28.77,30.11,15
2,86.29,60.26,29.65,114.32,114.32,84.79,140.85,30.11,24.04,98.29,16
2,87.54,187.32,52.24,87.15,87.15,140.85,132.53,98.29,30.11,84.79,17
2,128.17,176.96,127.18,98.59,98.59,132.53,103.19,84.79,98.29,140.85,18
2,118.32,161.0,139.55,76.53,76.53,103.19,168.68,140.85,84.79,132.53,19
2,91.1,177.27,121.59,42.27,42.27,168.68,90.94,132.53,140.85,103.19,20
2,154.41,77.43,186.9,24.76,24.76,90.94,32.83,103.19,132.53,168.68,21
2,79.29,24.46,137.48,24.34,24.34,32.83,44.04,168.68,103.19,90.94,22
2,31.69,26.81,124.15,28.17,28.17,44.04,189.63,90.94,168.68,32.83,23
2,44.63,31.78,94.21,30.95,30.95,189.63,186.2,32.83,90.94,44.04,24
3,202.5,105.91,84.51,22.99,157.48,186.2,136.58,44.04,32.83,189.63,1
3,173.8,129.09,26.55,26.54,132.99,136.58,142.5,189.63,44.04,186.2,2
3,143.24,132.35,20.66,22.3,160.67,142.5,155.76,186.2,189.63,136.58,3
3,141.72,144.91,20.26,26.77,154.47,155.76,155.37,136.58,186.2,142.5,4
3,142.2,148.05,19.91,63.3,126.27,155.37,133.44,142.5,136.58,155.76,5
3,140.71,133.55,19.29,48.96,158.16,133.44,120.76,155.76,142.5,155.37,6
3,141.52,125.52,15.28,23.12,163.71,120.76,133.18,155.37,155.76,133.44,7
3,139.57,159.25,19.3,27.45,146.71,133.18,141.23,133.44,155.37,120.76,8
3,144.23,131.96,15.76,28.36,134.78,141.23,119.51,120.76,133.44,133.18,9
3,160.02,149.06,41.8,27.21,197.56,119.51,109.16,133.18,120.76,141.23,10
3,113.88,136.95,84.99,23.31,182.8,109.16,235.36,141.23,133.18,119.51,11
3,120.38,20.4,145.02,29.27,136.62,235.36,191.81,119.51,141.23,109.16,12
3,243.99,21.41,228.22,28.77,145.43,191.81,111.8,109.16,119.51,235.36,13
3,212.7,21.98,118.56,24.04,143.96,111.8,60.26,235.36,109.16,191.81,14
3,120.79,20.26,87.47,30.11,88.78,60.26,187.32,191.81,235.36,111.8,15
3,52.76,29.65,61.31,98.29,114.32,187.32,176.96,111.8,191.81,60.26,16
3,197.39,52.24,48.65,84.79,87.15,176.96,161.0,60.26,111.8,187.32,17
3,164.48,127.18,51.31,140.85,98.59,161.0,177.27,187.32,60.26,176.96,18
3,156.33,139.55,52.69,132.53,76.53,177.27,77.43,176.96,187.32,161.0,19
3,171.24,121.59,99.13,103.19,42.27,77.43,24.46,161.0,176.96,177.27,20
3,89.91,186.9,63.37,168.68,24.76,24.46,26.81,177.27,161.0,77.43,21
3,28.73,137.48,54.76,90.94,24.34,26.81,31.78,77.43,177.27,24.46,22
3,25.18,124.15,28.75,32.83,28.17,31.78,105.91,24.46,77.43,26.81,23
3,32.11,94.21,30.92,44.04,30.95,105.91,129.09,26.81,24.46,31.78,24
4,118.08,84.51,49.84,189.63,22.99,129.09,132.35,31.78,26.81,105.91,1
4,143.21,26.55,17.8,186.2,26.54,132.35,144.91,105.91,31.78,129.09,2
4,143.68,20.66,19.8,136.58,22.3,144.91,148.05,129.09,105.91,132.35,3
4,144.94,20.26,16.28,142.5,26.77,148.05,133.55,132.35,129.09,144.91,4
4,143.82,19.91,24.31,155.76,63.3,133.55,125.52,144.91,132.35,148.05,5
4,144.44,19.29,18.91,155.37,48.96,125.52,159.25,148.05,144.91,133.55,6
4,142.07,15.28,19.05,133.44,23.12,159.25,131.96,133.55,148.05,125.52,7
4,141.09,19.3,19.51,120.76,27.45,131.96,149.06,125.52,133.55,159.25,8
4,139.02,15.76,20.55,133.18,28.36,149.06,136.95,159.25,125.52,131.96,9
4,141.85,41.8,20.94,141.23,27.21,136.95,20.4,131.96,159.25,149.06,10
4,159.36,84.99,54.86,119.51,23.31,20.4,21.41,149.06,131.96,136.95,11
4,21.35,145.02,60.09,109.16,29.27,21.41,21.98,136.95,149.06,20.4,12
4,21.26,228.22,28.17,235.36,28.77,21.98,20.26,20.4,136.95,21.41,13
4,20.51,118.56,194.73,191.81,24.04,20.26,29.65,21.41,20.4,21.98,14
4,22.64,87.47,160.15,111.8,30.11,29.65,52.24,21.98,21.41,20.26,15
4,28.67,61.31,233.34,60.26,98.29,52.24,127.18,20.26,21.98,29.65,16
4,50.19,48.65,119.08,187.32,84.79,127.18,139.55,29.65,20.26,52.24,17
4,134.44,51.31,147.2,176.96,140.85,139.55,121.59,52.24,29.65,127.18,18
4,143.98,52.69,334.58,161.0,132.53,121.59,186.9,127.18,52.24,139.55,19
4,122.33,99.13,153.8,177.27,103.19,186.9,137.48,139.55,127.18,121.59,20
4,178.54,63.37,239.71,77.43,168.68,137.48,124.15,121.59,139.55,186.9,21
4,160.46,54.76,302.37,24.46,90.94,124.15,94.21,186.9,121.59,137.48,22
4,143.08,28.75,124.11,26.81,32.83,94.21,84.51,137.48,186.9,124.15,23
4,104.33,30.92,100.92,31.78,44.04,84.51,26.55,124.15,137.48,94.21,24
5,89.58,49.84,80.28,105.91,189.63,26.55,20.66,94.21,124.15,84.51,1
5,26.01,17.8,87.78,129.09,186.2,20.66,20.26,84.51,94.21,26.55,2
5,20.0,19.8,89.58,132.35,136.58,20.26,19.91,26.55,84.51,20.66,3
5,18.77,16.28,74.89,144.91,142.5,19.91,19.29,20.66,26.55,20.26,4
5,18.21,24.31,92.52,148.05,155.76,19.29,15.28,20.26,20.66,19.91,5
5,20.12,18.91,58.37,133.55,155.37,15.28,19.3,19.91,20.26,19.29,6
5,17.92,19.05,30.07,125.52,133.44,19.3,15.76,19.29,19.91,15.28,7
5,20.22,19.51,56.28,159.25,120.76,15.76,41.8,15.28,19.29,19.3,8
5,17.72,20.55,141.57,131.96,133.18,41.8,84.99,19.3,15.28,15.76,9
5,37.39,20.94,104.18,149.06,141.23,84.99,145.02,15.76,19.3,41.8,10
5,91.53,54.86,67.27,136.95,119.51,145.02,228.22,41.8,15.76,84.99,11
5,155.53,60.09,79.04,20.4,109.16,228.22,118.56,84.99,41.8,145.02,12
5,240.18,28.17,21.17,21.41,235.36,118.56,87.47,145.02,84.99,228.22,13
5,113.43,194.73,32.83,21.98,191.81,87.47,61.31,228.22,145.02,118.56,14
5,101.97,160.15,117.2,20.26,111.8,61.31,48.65,118.56,228.22,87.47,15
5,68.92,233.34,111.87,29.65,60.26,48.65,51.31,87.47,118.56,61.31,16
5,52.88,119.08,131.65,52.24,187.32,51.31,52.69,61.31,87.47,48.65,17
5,53.94,147.2,125.4,127.18,176.96,52.69,99.13,48.65,61.31,51.31,18
5,51.33,334.58,176.68,139.55,161.0,99.13,63.37,51.31,48.65,52.69,19
5,110.04,153.8,160.08,121.59,177.27,63.37,54.76,52.69,51.31,99.13,20
5,60.91,239.71,231.19,186.9,77.43,54.76,28.75,99.13,52.69,63.37,21
5,60.75,302.37,165.97,137.48,24.46,28.75,30.92,63.37,99.13,54.76,22
5,30.7,124.11,53.92,124.15,26.81,30.92,49.84,54.76,63.37,28.75,23
5,30.32,100.92,19.19,94.21,31.78,49.84,17.8,28.75,54.76,30.92,24
6,54.19,80.28,17.96,84.51,105.91,17.8,19.8,30.92,28.75,49.84,1
6,17.79,87.78,19.82,26.55,129.09,19.8,16.28,49.84,30.92,17.8,2
6,21.14,89.58,15.78,20.66,132.35,16.28,24.31,17.8,49.84,19.8,3
6,17.92,74.89,28.3,20.26,144.91,24.31,18.91,19.8,17.8,16.28,4
6,21.35,92.52,43.17,19.91,148.05,18.91,19.05,16.28,19.8,24.31,5
6,17.12,58.37,17.81,19.29,133.55,19.05,19.51,24.31,16.28,18.91,6
6,20.3,30.07,75.1,15.28,125.52,19.51,20.55,18.91,24.31,19.05,7
6,18.76,56.28,139.97,19.3,159.25,20.55,20.94,19.05,18.91,19.51,8
6,18.6,141.57,142.14,15.76,131.96,20.94,54.86,19.51,19.05,20.55,9
6,22.54,104.18,105.86,41.8,149.06,54.86,60.09,20.55,19.51,20.94,10
6,62.49,67.27,74.38,84.99,136.95,60.09,28.17,20.94,20.55,54.86,11
6,64.11,79.04,48.24,145.02,20.4,28.17,194.73,54.86,20.94,60.09,12
6,33.09,21.17,17.27,228.22,21.41,194.73,160.15,60.09,54.86,28.17,13
6,199.92,32.83,18.09,118.56,21.98,160.15,233.34,28.17,60.09,194.73,14
6,151.99,117.2,14.79,87.47,20.26,233.34,119.08,194.73,28.17,160.15,15
6,226.25,111.87,35.59,61.31,29.65,119.08,147.2,160.15,194.73,233.34,16
6,136.85,131.65,80.46,48.65,52.24,147.2,334.58,233.34,160.15,119.08,17
6,144.28,125.4,133.96,51.31,127.18,334.58,153.8,119.08,233.34,147.2,18
6,312.69,176.68,137.22,52.69,139.55,153.8,239.71,147.2,119.08,334.58,19
6,174.99,160.08,146.94,99.13,121.59,239.71,302.37,334.58,147.2,153.8,20
6,211.39,231.19,199.7,63.37,186.9,302.37,124.11,153.8,334.58,239.71,21
6,284.3,165.97,189.83,54.76,137.48,124.11,100.92,239.71,153.8,302.37,22
6,127.73,53.92,76.9,28.75,124.15,100.92,80.28,302.37,239.71,124.11,23
6,87.83,19.19,96.81,30.92,94.21,80.28,87.78,124.11,302.37,100.92,24
7,81.63,17.96,28.49,49.84,84.51,87.78,89.58,100.92,124.11,80.28,1
7,81.04,19.82,42.34,17.8,26.55,89.58,74.89,80.28,100.92,87.78,2
7,83.09,15.78,17.89,19.8,20.66,74.89,92.52,87.78,80.28,89.58,3
7,81.41,28.3,14.75,16.28,20.26,92.52,58.37,89.58,87.78,74.89,4
7,82.55,43.17,22.31,24.31,19.91,58.37,30.07,74.89,89.58,92.52,5
7,66.27,17.81,17.88,18.91,19.29,30.07,56.28,92.52,74.89,58.37,6
7,28.09,75.1,60.25,19.05,15.28,56.28,141.57,58.37,92.52,30.07,7
7,60.76,139.97,144.71,19.51,19.3,141.57,104.18,30.07,58.37,56.28,8
7,128.37,142.14,153.39,20.55,15.76,104.18,67.27,56.28,30.07,141.57,9
7,99.88,105.86,108.0,20.94,41.8,67.27,79.04,141.57,56.28,104.18,10
7,77.8,74.38,97.87,54.86,84.99,79.04,21.17,104.18,141.57,67.27,11
7,70.51,48.24,239.94,60.09,145.02,21.17,32.83,67.27,104.18,79.04,12
7,19.74,17.27,75.19,28.17,228.22,32.83,117.2,79.04,67.27,21.17,13
7,38.59,18.09,33.11,194.73,118.56,117.2,111.87,21.17,79.04,32.83,14
7,111.05,14.79,112.61,160.15,87.47,111.87,131.65,32.83,21.17,117.2,15
7,113.11,35.59,79.94,233.34,61.31,131.65,125.4,117.2,32.83,111.87,16
7,127.35,80.46,38.59,119.08,48.65,125.4,176.68,111.87,117.2,131.65,17
7,113.89,133.96,108.84,147.2,51.31,176.68,160.08,131.65,111.87,125.4,18
7,174.48,137.22,210.19,334.58,52.69,160.08,231.19,125.4,131.65,176.68,19
7,167.64,146.94,163.18,153.8,99.13,231.19,165.97,176.68,125.4,160.08,20
7,205.5,199.7,196.35,239.71,63.37,165.97,53.92,160.08,176.68,231.19,21
7,150.46,189.83,108.83,302.37,54.76,53.92,19.19,231.19,160.08,165.97,22
7,58.2,76.9,54.4,124.11,28.75,19.19,17.96,165.97,231.19,53.92,23
7,19.96,96.81,19.23,100.92,30.92,17.96,19.82,53.92,165.97,19.19,24
8,16.19,28.49,22.36,80.28,49.84,19.82,15.78,19.19,53.92,17.96,1
8,18.71,42.34,16.21,87.78,17.8,15.78,28.3,17.96,19.19,19.82,2
8,17.24,17.89,17.52,89.58,19.8,28.3,43.17,19.82,17.96,15.78,3
8,28.18,14.75,46.89,74.89,16.28,43.17,17.81,15.78,19.82,28.3,4
8,39.67,22.31,15.63,92.52,24.31,17.81,75.1,28.3,15.78,43.17,5
8,16.47,17.88,19.89,58.37,18.91,75.1,139.97,43.17,28.3,17.81,6
8,67.41,60.25,40.8,30.07,19.05,139.97,142.14,17.81,43.17,75.1,7
8,143.22,144.71,174.83,56.28,19.51,142.14,105.86,75.1,17.81,139.97,8
8,128.14,153.39,154.17,141.57,20.55,105.86,74.38,139.97,75.1,142.14,9
8,112.1,108.0,93.61,104.18,20.94,74.38,48.24,142.14,139.97,105.86,10
8,80.95,97.87,84.19,67.27,54.86,48.24,17.27,105.86,142.14,74.38,11
8,56.08,239.94,76.88,79.04,60.09,17.27,18.09,74.38,105.86,48.24,12
8,16.62,75.19,19.65,21.17,28.17,18.09,14.79,48.24,74.38,17.27,13
8,18.09,33.11,26.32,32.83,194.73,14.79,35.59,17.27,48.24,18.09,14
8,16.0,112.61,20.91,117.2,160.15,35.59,80.46,18.09,17.27,14.79,15
8,33.89,79.94,27.99,111.87,233.34,80.46,133.96,14.79,18.09,35.59,16
8,88.28,38.59,170.26,131.65,119.08,133.96,137.22,35.59,14.79,80.46,17
8,126.38,108.84,218.91,125.4,147.2,137.22,146.94,80.46,35.59,133.96,18
8,142.38,210.19,234.45,176.68,334.58,146.94,199.7,133.96,80.46,137.22,19
8,137.25,163.18,313.15,160.08,153.8,199.7,189.83,137.22,133.96,146.94,20
8,192.64,196.35,199.92,231.19,239.71,189.83,76.9,146.94,137.22,199.7,21
8,197.55,108.83,167.46,165.97,302.37,76.9,96.81,199.7,146.94,189.83,22
8,77.48,54.4,76.92,53.92,124.11,96.81,28.49,189.83,199.7,76.9,23
8,98.14,19.23,78.31,19.19,100.92,28.49,42.34,76.9,189.83,96.81,24
9,31.07,22.36,30.45,17.96,80.28,42.34,17.89,96.81,76.9,28.49,1
9,39.23,16.21,20.22,19.82,87.78,17.89,14.75,28.49,96.81,42.34,2
9,20.42,17.52,16.57,15.78,89.58,14.75,22.31,42.34,28.49,17.89,3
9,16.16,46.89,20.44,28.3,74.89,22.31,17.88,17.89,42.34,14.75,4
9,20.81,15.63,20.09,43.17,92.52,17.88,60.25,14.75,17.89,22.31,5
9,16.08,19.89,48.95,17.81,58.37,60.25,144.71,22.31,14.75,17.88,6
9,53.86,40.8,83.1,75.1,30.07,144.71,153.39,17.88,22.31,60.25,7
9,141.77,174.83,185.36,139.97,56.28,153.39,108.0,60.25,17.88,144.71,8
9,178.38,154.17,104.59,142.14,141.57,108.0,97.87,144.71,60.25,153.39,9
9,119.71,93.61,89.47,105.86,104.18,97.87,239.94,153.39,144.71,108.0,10
9,85.63,84.19,47.16,74.38,67.27,239.94,75.19,108.0,153.39,97.87,11
9,238.25,76.88,15.19,48.24,79.04,75.19,33.11,97.87,108.0,239.94,12
9,85.85,19.65,15.96,17.27,21.17,33.11,112.61,239.94,97.87,75.19,13
9,33.23,26.32,16.35,18.09,32.83,112.61,79.94,75.19,239.94,33.11,14
9,101.72,20.91,21.97,14.79,117.2,79.94,38.59,33.11,75.19,112.61,15
9,77.47,27.99,17.03,35.59,111.87,38.59,108.84,112.61,33.11,79.94,16
9,41.01,170.26,20.41,80.46,131.65,108.84,210.19,79.94,112.61,38.59,17
9,109.46,218.91,31.51,133.96,125.4,210.19,163.18,38.59,79.94,108.84,18
9,201.86,234.45,172.98,137.22,176.68,163.18,196.35,108.84,38.59,210.19,19
9,191.41,313.15,146.98,146.94,160.08,196.35,108.83,210.19,108.84,163.18,20
9,176.04,199.92,146.6,199.7,231.19,108.83,54.4,163.18,210.19,196.35,21
9,101.68,167.46,92.88,189.83,165.97,54.4,19.23,196.35,163.18,108.83,22
9,51.11,76.92,98.05,76.9,53.92,19.23,22.36,108.83,196.35,54.4,23
9,22.57,78.31,44.07,96.81,19.19,22.36,16.21,54.4,108.83,19.23,24
10,20.19,30.45,60.74,28.49,17.96,16.21,17.52,19.23,54.4,22.36,1
10,15.28,20.22,21.27,42.34,19.82,17.52,46.89,22.36,19.23,16.21,2
10,18.52,16.57,15.85,17.89,15.78,46.89,15.63,16.21,22.36,17.52,3
10,53.53,20.44,19.14,14.75,28.3,15.63,19.89,17.52,16.21,46.89,4
10,16.23,20.09,19.81,22.31,43.17,19.89,40.8,46.89,17.52,15.63,5
10,17.86,48.95,14.18,17.88,17.81,40.8,174.83,15.63,46.89,19.89,6
10,44.18,83.1,17.99,60.25,75.1,174.83,154.17,19.89,15.63,40.8,7
10,162.13,185.36,94.53,144.71,139.97,154.17,93.61,40.8,19.89,174.83,8
10,150.32,104.59,141.64,153.39,142.14,93.61,84.19,174.83,40.8,154.17,9
10,82.21,89.47,99.38,108.0,105.86,84.19,76.88,154.17,174.83,93.61,10
10,82.18,47.16,179.99,97.87,74.38,76.88,19.65,93.61,154.17,84.19,11
10,69.11,15.19,241.55,239.94,48.24,19.65,26.32,84.19,93.61,76.88,12
10,18.02,15.96,102.55,75.19,17.27,26.32,20.91,76.88,84.19,19.65,13
10,23.71,16.35,105.26,33.11,18.09,20.91,27.99,19.65,76.88,26.32,14
10,19.63,21.97,99.94,112.61,14.79,27.99,170.26,26.32,19.65,20.91,15
10,32.5,17.03,134.35,79.94,35.59,170.26,218.91,20.91,26.32,27.99,16
10,156.79,20.41,110.04,38.59,80.46,218.91,234.45,27.99,20.91,170.26,17
10,194.29,31.51,186.12,108.84,133.96,234.45,313.15,170.26,27.99,218.91,18
10,232.15,172.98,114.06,210.19,137.22,313.15,199.92,218.91,170.26,234.45,19
10,287.05,146.98,193.23,163.18,146.94,199.92,167.46,234.45,218.91,313.15,20
10,222.38,146.6,258.29,196.35,199.7,167.46,76.92,313.15,234.45,199.92,21
10,172.82,92.88,281.62,108.83,189.83,76.92,78.31,199.92,313.15,167.46,22
10,86.89,98.05,348.46,54.4,76.9,78.31,30.45,167.46,199.92,76.92,23
10,77.23,44.07,288.07,19.23,96.81,30.45,20.22,76.92,167.46,78.31,24
11,35.13,60.74,188.65,22.36,28.49,20.22,16.57,78.31,76.92,30.45,1
11,18.73,21.27,194.34,16.21,42.34,16.57,20.44,30.45,78.31,20.22,2
11,18.14,15.85,156.43,17.52,17.89,20.44,20.09,20.22,30.45,16.57,3
11,19.29,19.14,71.43,46.89,14.75,20.09,48.95,16.57,20.22,20.44,4
11,17.58,19.81,70.22,15.63,22.31,48.95,83.1,20.44,16.57,20.09,5
11,48.74,14.18,75.78,19.89,17.88,83.1,185.36,20.09,20.44,48.95,6
11,87.09,17.99,90.35,40.8,60.25,185.36,104.59,48.95,20.09,83.1,7
11,169.95,94.53,64.28,174.83,144.71,104.59,89.47,83.1,48.95,185.36,8
11,119.64,141.64,85.27,154.17,153.39,89.47,47.16,185.36,83.1,104.59,9
11,80.89,99.38,120.33,93.61,108.0,47.16,15.19,104.59,185.36,89.47,10
11,54.41,179.99,89.88,84.19,97.87,15.19,15.96,89.47,104.59,47.16,11
11,16.91,241.55,55.56,76.88,239.94,15.96,16.35,47.16,89.47,15.19,12
11,17.68,102.55,46.14,19.65,75.19,16.35,21.97,15.19,47.16,15.96,13
11,15.23,105.26,72.57,26.32,33.11,21.97,17.03,15.96,15.19,16.35,14
11,20.09,99.94,108.38,20.91,112.61,17.03,20.41,16.35,15.96,21.97,15
11,15.7,134.35,137.99,27.99,79.94,20.41,31.51,21.97,16.35,17.03,16
11,19.24,110.04,213.41,170.26,38.59,31.51,172.98,17.03,21.97,20.41,17
11,34.36,186.12,241.55,218.91,108.84,172.98,146.98,20.41,17.03,31.51,18
11,152.94,114.06,223.7,234.45,210.19,146.98,146.6,31.51,20.41,172.98,19
11,134.09,193.23,211.69,313.15,163.18,146.6,92.88,172.98,31.51,146.98,20
11,137.7,258.29,203.51,199.92,196.35,92.88,98.05,146.98,172.98,146.6,21
11,90.76,281.62,132.12,167.46,108.83,98.05,44.07,146.6,146.98,92.88,22
11,89.03,348.46,98.18,76.92,54.4,44.07,60.74,92.88,146.6,98.05,23
11,47.96,288.07,81.01,78.31,19.23,60.74,21.27,98.05,92.88,44.07,24
12,53.3,188.65,88.18,30.45,22.36,21.27,15.85,44.07,98.05,60.74,1
12,19.0,194.34,85.18,20.22,16.21,15.85,19.14,60.74,44.07,21.27,2
12,15.39,156.43,26.14,16.57,17.52,19.14,19.81,21.27,60.74,15.85,3
12,17.87,71.43,15.66,20.44,46.89,19.81,14.18,15.85,21.27,19.14,4
12,17.34,70.22,17.68,20.09,15.63,14.18,17.99,19.14,15.85,19.81,5
12,15.88,75.78,13.15,48.95,19.89,17.99,94.53,19.81,19.14,14.18,6
12,18.91,90.35,18.15,83.1,40.8,94.53,141.64,14.18,19.81,17.99,7
12,107.56,64.28,130.09,185.36,174.83,141.64,99.38,17.99,14.18,94.53,8
12,159.33,85.27,147.56,104.59,154.17,99.38,179.99,94.53,17.99,141.64,9
12,102.95,120.33,84.84,89.47,93.61,179.99,241.55,141.64,94.53,99.38,10
12,190.2,89.88,120.78,47.16,84.19,241.55,102.55,99.38,141.64,179.99,11
12,213.78,55.56,73.6,15.19,76.88,102.55,105.26,179.99,99.38,241.55,12
12,118.21,46.14,77.73,15.96,19.65,105.26,99.94,241.55,179.99,102.55,13
12,98.35,72.57,35.89,16.35,26.32,99.94,134.35,102.55,241.55,105.26,14
12,97.78,108.38,87.86,21.97,20.91,134.35,110.04,105.26,102.55,99.94,15
12,124.3,137.99,84.72,17.03,27.99,110.04,186.12,99.94,105.26,134.35,16
12,123.46,213.41,104.9,20.41,170.26,186.12,114.06,134.35,99.94,110.04,17
12,167.88,241.55,116.53,31.51,218.91,114.06,193.23,110.04,134.35,186.12,18
12,113.29,223.7,137.31,172.98,234.45,193.23,258.29,186.12,110.04,114.06,19
12,189.27,211.69,181.12,146.98,313.15,258.29,281.62,114.06,186.12,193.23,20
12,270.73,203.51,170.93,146.6,199.92,281.62,348.46,193.23,114.06,258.29,21
12,298.89,132.12,83.85,92.88,167.46,348.46,288.07,258.29,193.23,281.62,22
12,348.86,98.18,117.58,98.05,76.92,288.07,188.65,281.62,258.29,348.46,23
12,304.28,81.01,151.34,44.07,78.31,188.65,194.34,348.46,281.62,288.07,24
13,200.43,88.18,24.98,60.74,30.45,194.34,156.43,288.07,348.46,188.65,1
13,174.96,85.18,17.91,21.27,20.22,156.43,71.43,188.65,288.07,194.34,2
13,172.77,26.14,18.92,15.85,16.57,71.43,70.22,194.34,188.65,156.43,3
13,67.3,15.66,15.69,19.14,20.44,70.22,75.78,156.43,194.34,71.43,4
13,68.05,17.68,46.73,19.81,20.09,75.78,90.35,71.43,156.43,70.22,5
13,71.65,13.15,25.39,14.18,48.95,90.35,64.28,70.22,71.43,75.78,6
13,94.57,18.15,36.6,17.99,83.1,64.28,85.27,75.78,70.22,90.35,7
13,68.46,130.09,160.15,94.53,185.36,85.27,120.33,90.35,75.78,64.28,8
13,78.91,147.56,58.79,141.64,104.59,120.33,89.88,64.28,90.35,85.27,9
13,133.56,84.84,54.22,99.38,89.47,89.88,55.56,85.27,64.28,120.33,10
13,104.18,120.78,24.96,179.99,47.16,55.56,46.14,120.33,85.27,89.88,11
13,60.51,73.6,35.32,241.55,15.19,46.14,72.57,89.88,120.33,55.56,12
13,42.75,77.73,111.05,102.55,15.96,72.57,108.38,55.56,89.88,46.14,13
13,77.92,35.89,50.74,105.26,16.35,108.38,137.99,46.14,55.56,72.57,14
13,109.65,87.86,132.22,99.94,21.97,137.99,213.41,72.57,46.14,108.38,15
13,125.82,84.72,57.08,134.35,17.03,213.41,241.55,108.38,72.57,137.99,16
13,205.55,104.9,106.91,110.04,20.41,241.55,223.7,137.99,108.38,213.41,17
13,252.67,116.53,163.22,186.12,31.51,223.7,211.69,213.41,137.99,241.55,18
13,215.56,137.31,192.12,114.06,172.98,211.69,203.51,241.55,213.41,223.7,19
13,197.49,181.12,117.43,193.23,146.98,203.51,132.12,223.7,241.55,211.69,20
13,191.57,170.93,89.83,258.29,146.6,132.12,98.18,211.69,223.7,203.51,21
13,126.46,83.85,95.81,281.62,92.88,98.18,81.01,203.51,211.69,132.12,22
13,87.76,117.58,64.16,348.46,98.05,81.01,88.18,132.12,203.51,98.18,23
13,82.47,151.34,24.71,288.07,44.07,88.18,85.18,98.18,132.12,81.01,24
14,81.44,24.98,18.08,188.65,60.74,85.18,26.14,81.01,98.18,88.18,1
14,80.5,17.91,14.48,194.34,21.27,26.14,15.66,88.18,81.01,85.18,2
